ein,name,mission,city,state
933,LOCAL 68 ENGINEERS UNION WELFARE FUND,WELFARE BENEFIT PLAN,WEST CALDWELL,NJ
934,BOY SCOUTS OF AMERICA,"As stated in the Boy Scouts of America Charter - The exempt purpose of the Boy Scouts of America is to promote through community organizations, and cooperation with other agencies, the ability of boys to do things for themselves and others, to train (Continued on Schedule O)",Irving,TX
935,LOCAL 464AUNITED FOOD AND COMMERCIAL,"WELFARE FUND PROVIDING MEDICAL,SURGICAL,HOSPITAL,DENTAL,OPTICAL,PRESCRIPTION AND LIFE INSURANCE BENEFITS FOR COVERED MEMBERS OF UFCW LOCAL 464A-AFL-CIO.",LITTLE FALLS,NJ
936,JEWISH COMMUNITY FOUNDATION OF GREATER METROWEST NJ,"JEWISH COMMUNITY FOUNDATION (JCF) ENSURES THE FUTURE OF THE JEWISH FEDERATION OF GREATER METROWEST NJ THROUGH EFFECTIVE ENDOWMENT MANAGEMENT, PERSONALIZED PLANNED GIVING STRATEGIES AND GRANT-MAKING.",Whippany,NJ
937,CENTRASTATE MEDICAL CENTER INC,CENTRASTATE MEDICAL CENTER'S MISSION IS TO ENHANCE THE HEALTH AND WELL-BEING OF OUR COMMUNITIES THROUGH THE COMPASSIONATE DELIVERY OF QUALITY HEALTHCARE.,FREEHOLD,NJ
938,KENNEDY UNIVERSITY HOSPITAL INC,"THE MISSION OF KENNEDY UNIVERSITY HOSPITAL, INC. IS TO IMPROVE LIVES.",PHILADELPHIA,PA
939,RARITAN VALLEY COMMUNITY COLLEGE,"TO DEVELOP CRITICAL THINKING, FOSTER INTELLECTUAL CURIOSITY, PROMOTE LEADERSHIP, ENCOURAGE SOCIAL RESPONSIBILITY AND SUPPORT PERSONAL GROWTH.",SOMERVILLE,NJ
940,NORTH HUDSON COMMUNITY ACTION CORPORATION,"TO PROMOTE AND IMPROVE THE QUALITY OF LIFE AND TO ELIMINATE FACTORS LEADING TO POVERTY FOR NORTHERN NEW JERSEY RESIDENTS BY PROVIDING COMPREHENSIVE HEALTH AND SOCIAL SERVICES WITH COMPARISON,THROUGH COLLABORATIONS AND PARTNERSHIPS IN A CULTURALLY SENSITIVE ENVIRONMENT.",UNION CITY,NJ
941,ESSEX COUNTY COLLEGE,SERVES THE DYNAMIC NEEDS OF DIVERSE CONSTITUENCIES THROUGH COMPREHENSIVE EDUCATIONAL PROGRAMS,NEWARK,NJ
942,DELTA DENTAL OF NEW JERSEY INC,"TO PROMOTE ORAL HEALTH TO THE GREATEST NUMBER OF PEOPLE BY PROVIDING ACCESSIBLE DENTAL BENEFIT PROGRAMS OF THE HIGHEST QUALITY, SERVICE AND VALUE.",PARSIPPANY,NJ
943,FELICIAN UNIVERSITY,EDUCATING A DIVERSE STUDENT POPULATION WITHIN A LIBERAL ARTS FRAMEWORK.,LODI,NJ
944,TRI-COUNTY COMMUNITY ACTION AGENCY,"TO PROVIDE EARLY CHILDHOOD EDUCATION, SOCIAL SERVICES AND OTHER PROGRAMS TO LOW INCOME RESIDENTS. THE PURPOSE IS TO ELIMINATE POVERTY.",BRIDGETON,NJ
945,LEGAL SERVICES OF NEW JERSEY INC,"TO PROVIDE AND PROMOTE FREE AND AFFORDABLE CIVIL LEGAL ASSISTANCE, ADVOCACY AND JUSTICE FOR LOW-INCOME PEOPLE AND COMMUNITIES IN NEW JERSEY.",EDISON,NJ
946,CARE PLUS NJ INC,THIS AGENCY IS DEDICATED TO EXCELLENCE IN MENTAL HEALTHCARE AND HAS COMMITMENT TO LIFE- LONG SUPPORT NEEDED BY INDIVIDUALS AND THEIR FAMILIES TO ENSURE THAT THEY ACHIEVE THEIR FULL POTENTIAL TO IMPROVE THE QUALITY OF THEIR LIVES.,PARAMUS,NJ
947,LIFETIME ASSISTANCE INC,THE ORGANIZATION'S MISSION IS TO PROVIDE SERVICES TO PEOPLE WITH DEVELOPMENTAL DISABILITIES.,ROCHESTER,NY
948,COMMUNITY FOUNDATION OF NEW JERSEY,"TO CONNECT DONORS TO ORGANIZATIONS, PROVIDE LEADERSHIP AND SUPPORT TO DONORS, COMMUNITY ORGANIZATIONS, LEADERS AND FOUNDATIONS TO ACHIEVE THE ART OF LASTING PHILANTHROPY.",MORRISTOWN,NJ
949,COMMUNITY ACCESS UNLIMITED INC,HELPING PEOPLE WITH DISABILITIES AND AT-RISK YOUTH ACHIEVE INDEPENDENCE IN THE COMMUNITY.,ELIZABETH,NJ
950,CAYUGA MEDICAL CENTER AT ITHACA,"To deliver the highest quality healthcare in partnership with our community, one person at a time.",Ithaca,NY
951,JEFF-LEWIS ET AL SCH EMP HC PLAN,PROVIDES HEALTH CARE BENEFITS FOR VARIOUS SCHOOL DISTRICTS IN JEFF-LEWIS COUNTIES.,CLAYTON,NY
952,HERITAGE CHRISTIAN SERVICES INC,"HERITAGE CHRISTIAN SERVICES (HCS) IS A THRIVING, NON-SECTARIAN, 501(C)(3) HUMAN SERVICE AGENCY THAT SUPPORTS NEARLY 2,000 CHILDREN AND ADULTS WITH DEVELOPMENTAL DISABILITIES THROUGH THE OPERATION OF GROUP HOMES, DAY PROGRAMS, RESPITE CARE, SERVICE COORDINATION AND A VARIETY OF COMMUNITY SERVICES.",ROCHESTER,NY
953,BARNABAS HEALTH INC,"TO SUPPORT THE CHARITABLE PURPOSES, GOALS AND OBJECTIVES OF RWJ BARNABAS HEALTH, INC. AND ITS AFFILIATES; A TAX-EXEMPT INTEGRATED HEALTHCARE DELIVERY SYSTEM.",OCEANPORT,NJ
954,Community Food Bank Of New Jersey Inc,"WE FIGHT HUNGER AND POVERTY IN NEW JERSEY BY ASSISTING THOSE IN NEED AND SEEKING LONG-TERM SOLUTIONS. WE ENGAGE, EDUCATE AND EMPOWER ALL SECTORS OF SOCIETY IN THE BATTLE (SEE SCH O)",Hillside,NJ
955,FOODLINK INC,TO LEVERAGE THE POWER OF FOOD TO END HUNGER AND BUILD HEALTHIER COMMUNITIES.,ROCHESTER,NY
956,REGIONAL FOOD BANK,"TO LEAD A NETWORK OF PARTNERS TO ALLEVIATE HUNGER, PREVENT FOOD WASTE, AND NOURISH THE COMMUNITIES WE SERVE. OUR VISION IS THAT ALL PEOPLE HAVE THE NUTRITIOUS FOOD THEY NEED TO THRIVE.",LATHAM,NY
957,AWW CO INC & ITS DESIGNATED SUB,SEE SCHEDULE O,CAMDEN,NJ
958,Brockton Hospital Inc,SIGNATURE HEALTHCARE BROCKTON HOSPITAL IS A COMMUNITY-BASED NOT-FOR-PROFIT (CONTINUED ON SCHEDULE O),Brockton,MA
959,ROWAN UNIVERSITY FOUNDATION INC,TO SUPPORT ROWAN UNIVERSITY IN ITS ROLE AS A NEW MODEL FOR EXCELLENCE IN HIGHER EDUCATION.,GLASSBORO,NJ
960,MERCY HEALTH PLAN,"TO OWN AND OPERATE ARRANGEMENTS FOR THE DELIVERY OF HEALTH CARE SERVICES BY HOSPITALS, PHYSICIANS, AND OTHER HEALTH CARE PROVIDERS",NEWTOWN SQUARE,PA
961,Covenant Health Inc,"Covenant Health is a Catholic health care system sponsoring hospitals, nursing homes, assisted living residences, and other health and elder services throughout New England. The Organization is committed to the health of the individuals and communities it serves, and the Organization strives to offer a continuum of high quality care. Please see the Organization's website for the 2020 Covenant Health Corporate Report.",Tewksbury,MA
962,NEW JERSEY ORGAN AND TISSUE SHRG NTWK,"THROUGH ORGAN AND TISSUE DONATION AND TRANSPLANTATION, THE ORGANIZATION SAVES LIVES, GIVES HOPE AND RESTORES PHYSICAL FUNCTION.",NEW PROVIDENCE,NJ
963,WELLSPAN HEALTH,"WELLSPAN HEALTH'S CHARITABLE, NON-PROFIT MISSION IS ""WORKING AS ONE TO IMPROVE HEALTH THROUGH EXCEPTIONAL CARE FOR ALL, LIFELONG WELLNESS AND HEALTHY COMMUNITIES"".",YORK,PA
964,RESOURCE CENTER FOR INDEPENDENT LIVING,TO ENSURE A FULLY ACCESSIBLE INTEGRATED SOCIETY THAT ENABLES FULL PARTICIPATION BY PEOPLE WITH DISABILITIES.,UTICA,NY
965,Dartmouth-Hitchcock Clinic,"Advancing health through research, education, clinical practice, and community partnerships; providing each person the best care in the right place, at the right time, every time.",Lebanon,NH
966,BAYSTATE WING HOSPITAL CORPORATION,"THE MISSION OF THE ORGANIZATION IS TO IMPROVE THE HEALTH OF THE PEOPLE IN OUR COMMUNITIES EVERY DAY, WITH QUALITY AND COMPASSION.",PALMER,MA
967,Holyoke Medical Center Inc,"Acute care hospital, providing medical and other healthcare services to residents of Holyoke, MA and the surrounding areas.",Holyoke,MA
968,YALE NEW HAVEN HEALTH SERVICES,"TO PROMOTE CHARITABLE, SCIENTIFIC AND EDUCATIONAL ACTIVITIES.",NEW HAVEN,CT
969,BAYSTATE NOBLE HOSPITAL CORPORATION,"THE MISSION OF THE ORGANIZATION IS TO IMPROVE THE HEALTH OF THE PEOPLE IN OUR COMMUNITIES EVERY DAY, WITH QUALITY AND COMPASSION.",WESTFIELD,MA
970,AUTOMATIC DATA PROCESSING INC AND,"TO PROVIDE BENEFITS TO ELIGIBLE PARTICIPANTS OF THE AUTOMATIC DATA PROCESSING, INC. EMPLOYEE WELFARE BENEFIT TRUST.",ROSELAND,NJ
971,CENTRAL VERMONT MEDICAL CENTER INC,CVMC WORKS COLLABORATIVELY TO MEET THE NEEDS AND IMPROVE THE HEALTH OF THE RESIDENTS OF CENTRAL VERMONT.,BERLIN,VT
972,Massachusetts Mutual Agents Health Benefit Trust,"The Agents' Health Trust was established to hold the health plan assets. The health plan provides medical, dental, and vision benefits covering agents of the MassMutual Life Insurance Company who enter into a full time career contract, as well as general agents and retired agents",Springfield,MA
973,NEW JERSEY PROPERTY - LIABILITY,"NJPLIGA WAS CREATED BY NJSA 17:30A-1 ET SEQ. THE STATUTE ESTABLISHES A MECHANISM FOR THE PAYMENT OF ""COVERED CLAIMS"" OF INSOLVENT INSURANCE COMPANIES.",BASKING RIDGE,NJ
974,SOUTHWESTERN VERMONT MEDICAL CENTER,SEE SCHEDULE O,BENNINGTON,VT
975,Catholic Health System,"The Mission of the Catholic Health System, as part of the Catholic Health System (CHS) in Western New York, is to provide quality healthcare services in an acute care, long term care, and home care setting. Committed to a common mission, the providers of the Catholic Health System continue the healing ministry of Jesus, seeking to improve the health of individuals and communities. We provide high quality service that has reverence, compassion, justice, and excellence. The 2022 Community Service Plan can be found at https://www.chsbuffalo.org/about-us/community.",BUFFALO,NY
976,NEW ENGLAND LIFE FLIGHT INC,PROVISION OF CRITICAL CARE TRANSPORTATION SERVICES BY AIR AND GROUND TO CRITICALLY ILL AND INJURED PATIENTS.,BEDFORD,MA
977,Southcoast Hospitals Group Inc,TO PROMOTE THE OPTIMAL HEALTH AND WELL- BEING OF THE INDIVIDUALS AND FAMILIES IN THE COMMUNITIES SERVED BY SOUTHCOAST HOSPITALS GROUP (SHG).(SEE SCHEDULE O),New Bedford,MA
978,Concord Hospital Inc,Hospital,Concord,NH
979,CAPE COD HEALTHCARE INC,SEE SCHEDULE O,HYANNIS,MA
980,THE RHODE ISLAND COMMUNITY FOUNDATION,WE ARE A COMMUNITY FOUNDATION DEDICATED TO MEETING THE NEEDS OF THE PEOPLE OF RHODE ISLAND.,PROVIDENCE,RI
981,BETH ISRAEL DEACONESS HOSPITAL-PLYMOUTH,SEE SCHEDULE O.,PLYMOUTH,MA
982,Hartford HealthCare Corporation,Hartford HealthCare's mission is to improve the health and healing of the people and communities it serves.,Hartford,CT
983,Exeter Hospital Inc,The mission of Exeter Hospital is to improve the health of the community. This mission will be accomplished without compromising Exeter Hospital's sustainability principally by the provision of health services and information to the community in collaboration with Exeter Health Resources' other affiliates which share this mission.,Exeter,NH
984,SOUTHCOAST PHYSICIANS GROUP INC,"TO PROMOTE THE AVAILABILITY OF HIGH QUALITY MEDICAL SERVICES IN SERVICE AREAS COVERED BY SOUTHCOAST HEALTH SYSTEM, INC. (SHS) AND ITS TAX EXEMPT AFFILIATES.(SEE SCHEDULE O)",FAIRHAVEN,MA
985,COMMUNITY FOUNDATION FOR GREATER BUFFALO,OUR VISION IS A VIBRANT AND EQUITABLE GREATER BUFFALO REGION WHERE EVERY INDIVIDUAL THRIVES.,BUFFALO,NY
986,BAYSTATE ADMINISTRATIVE SERVICES INC,"THE MISSION OF THE ORGANIZATION IS TO IMPROVE THE HEALTH OF THE PEOPLE IN OUR COMMUNITIES EVERY DAY, WITH QUALITY AND COMPASSION.",SPRINGFIELD,MA
987,BHS MANAGEMENT SERVICES INC,"TO ADVANCE HEALTH & WELLNESS OF OUR COMMUNITY IN A WELCOMING, INCLUSIVE & PERSONALIZED ENVIRONMENT",PITTSFIELD,MA
988,Community Health Care Inc,Federally Qualified Health Center The Organization provides medical and dental services to all community members regardless of income level.,Bridgeton,NJ
989,HARVARD MEDICAL FACULTY PHYSICIANS AT,SEE SCHEDULE O.,BOSTON,MA
990,CHILDREN'S HEALTH CARE ASSOCIATES INC,SEE SCHEDULE O,PHILADELPHIA,PA
991,MUSCULOSKELETAL TRANSPLANT,"MTF IS A NONPROFIT ORG. THAT SAVES AND HEALS LIVES BY HONORING DONATED GIFTS AND SERVING PATIENTS, WE COLLABORATE WITH THE MEDICAL, SCIENTIFIC, AS WELL AS ORGAN AND TISSUE DONATION COMMUNITIES. CONTINUED ON SCHEDULE O.",EDISON,NJ
992,DELAWARE COMMUNITY FOUNDATION INC,"OUR MISSION IS TO IMPROVE THE LIVES OF THE PEOPLE OF DELAWARE BY EMPOWERING AND GROWING PHILANTHROPY THROUGH KNOWLEDGE AND RELATIONSHIPS, NOW AND IN THE FUTURE. WE ENVISION A DELAWARE WHERE GENEROSITY EXPANDS OPPORTUNITY FOR ALL AND ENHANCES THE COMMON GOOD. AS A FACILITATOR, INFORMATION RESOURCE AND MANAGER OF CHARITABLE FUNDS, THE DELAWARE COMMUNITY FOUNDATION HELPS COMMUNITIES AND PHILANTHROPISTS FOCUS CHARITABLE RESOURCES FOR THE GREATEST COMMUNITY BENEFIT STATEWIDE.",WILMINGTON,DE
993,MEMORIAL HOSPITAL OF WILLIAM F AND GERTRUDE F JONES INC,JONES MEMORIAL HOSPITAL IS COMMITTED TO ENSURING ACCESS TO THE HIGHEST QUALITY HEALTHCARE FOR OUR COMMUNITY IN A CARING MANNER.,Wellsville,NY
994,COMMUNITY CONNECTIONS FOR CHILDREN INC,"COMMUNITY CONNECTIONS FOR CHILDREN, INC ENSURES THAT ALL FAMILIES HAVE ACCESS TO AFFORDABLE, HIGH QUALITY CHILD CARE CHOICES THAT LEAD TO SUCCESS IN SCHOOL AND LIFE.",YORK,PA
995,PMHCC INC,THE MISSION OF PMHCC IS TO IMPROVE SERVICE OPPORTUNITIES FOR CITIZENS WHO ARE LIMITED PRIMARILY BY SERIOUS AND/OR PROLONGED MENTAL ILLNESS AND OTHER CHALLENGES.,PHILADELPHIA,PA
996,Lifespan Corporation,"Delivering health with care while maintaining a comprehensive, integrated, academic health system. Lifespan Corporation provides support services to its affiliates to assure the delivery of high-quality health services, medical education, and biomedical research.",Providence,RI
997,NEW HOPE COMMUNITY INC,TO ENHANCE THE LIVES OF PEOPLE WITH INTELLECTUAL AND OTHER DEVELOPMENTAL DISABILITIES.,LOCH SHELDRAKE,NY
998,Care Dimensions Inc,"Care Dimensions, Inc. (CD) ENRICHES QUALITY OF LIFE BY PROVIDING EXPERT CARE, SUPPORT, EDUCATION AND CONSULTATION FOR THOSE AFFECTED BY LIFE LIMITING ILLNESS, DEATH AND LOSS.",Danvers,MA
999,CITY YEAR INC,"CITY YEAR HELPS STUDENTS AND SCHOOLS SUCCEED, WHILE PREPARING THE NEXT GENERATION OF CIVICALLY ENGAGED LEADERS WHO CAN WORK ACROSS LINES OF DIFFERENCE. PARTNERING WITH TEACHERS, DIVERSE TEAMS OF CITY YEAR AMERICORPS MEMBERS CULTIVATE LEARNING ENVIRONMENTS WHERE ALL STUDENTS CAN BUILD ON THEIR STRENGTHS, FULLY ENGAGE IN THEIR LEARNING, AND THRIVE.",BOSTON,MA
1000,NEW JERSEY PERFORMING ARTS CENTER,SEE SCHEDULE O.,NEWARK,NJ
1001,United Parcel Service Health and Welfare Plan,"The VEBA trust holds the assets and controls the payment functions for the UPS Flexible Benefit Plan, UPS Health Care Plan, and UPS Retired Employee Health Care Plan.",Atlanta,GA
1002,VALLEY HEALTH SYSTEM INC,TO PROVIDE MANAGEMENT AND PLANNING SERVICES FOR THE ENTITIES OF THE VALLEY HEALTH SYSTEM.,RIDGEWOOD,NJ
1003,THE TROUSDALE FOUNDATION INC,"ACQUIRE, OWN, AND MANAGE NURSING HOMES, HOSPITALS, RETIREMENT HOUSING AND HEALTH CARE FACILITIES.",CLEVELAND,TN
1004,Good Shepherd Food Bank,Reduce food insecurity in Maine through food distribution and community partnerships.,Auburn,ME
1005,For Inspiration and Recognition of,To inspire youth to become science and technology leaders and innovators.,Manchester,NH
1006,DUTCHESS EDUCATIONAL HEALTH,TO CONTROL HEALTH INSURANCE COSTS AND MAINTAIN THE QUALITY OF BENEFITS VIA COLLABORATION BETWEEN LABOR AND MANAGEMENT. THUS PROVIDING HEALTH INSURANCE TO MEMBER SCHOOL DISTRICTS AT A COST LOWER THAN THEY COULD OBTAIN INDIVIDUALLY.,POUGHKEEPSIE,NY
1007,Roche Retiree Welfare Benefit Trust,To pay health and welfare claims and expenses for retirees and dependents,Little Falls,NJ
1008,Roche Employee Welfare Benefit TR,To cover employee benefits and expenses for participants,Little Falls,NJ
1009,PARK GLEN CORPORATION-CO STATE TEACHERS,"PARK GLEN CORPORATION (""THE CORPORATION"") WAS ORGANIZED FOR THE EXCLUSIVE PURPOSE OF ACQUIRING.",COLUMBUS,OH
1010,INTERNATIONAL RESEARCH & EXCHANGES,"IREX IS A NOT-FOR-PROFIT ORGANIZATION CONDUCTING SOCIAL SCIENCE RESEARCH THAT STRIVES FOR A MORE JUST, PROSPEROUS, AND INCLUSIVE WORLD WHERE INDIVIDUALS REACH THEIR FULL POTENTIAL, GOVERNMENTS SERVE THEIR PEOPLE, AND COMMUNITIES THRIVE.",WASHINGTON,DC
1011,COMMUNITY FOUNDATION OF WESTERN,"ENRICH REGIONAL QUALITY OF LIFE BY ENCOURAGING PHILANTHROPY AND DEVELOPING AN ENDOWMENT CATALYST, AND COORDINATOR FOR CHARITABLE ACTIVITIES, AND PROMOTING EFFICIENCY IN THE MANAGEMENT OF CHARITABLE FUNDS.",SPRINGFIELD,MA
1012,MOHAWK VALLEY HEALTH SYSTEM,TO PROVIDE FOR EXCELLENCE IN HEALTHCARE FOR OUR COMMUNITIES.,Utica,NY
1013,ZUFALL HEALTH CENTER INC,"TO PROVIDE QUALITY, AFFORDABLE, AND CULTURALLY COMPETENT HEALTH CARE TO PEOPLE AND COMMUNITIES WHO EXPERIENCE BARRIERS TO CARE.",DOVER,NJ
1014,HARVARD PRIVATE CAPITAL REALTY INC,"Invest funds for the benefit of President & Fellows of Harvard College, a related 501(c)(3) supported organization",Boston,MA
1015,FELLOWSHIP VILLAGE INC,TO SERVE SENIORS OF VARIED BACKGROUNDS THROUGH OUR CHRIST-CENTERED COMMUNITY.,BASKING RIDGE,NJ
1016,New England Life Care Inc,Delivery of home health care services.,South Portland,ME
1017,FIDELITY NON-PROFIT MANAGEMENT,SEE PART III LINE 1,BOSTON,MA
1018,VALLEY HOME CARE INC,"VALLEY HOME CARE PROVIDES AN INTEGRATED DELIVERY OF BOTH HOME HEALTH AND WELLNESS PROGRAMS TO ITS SERVICE AREA OF PASSAIC AND BERGEN COUNTIES 24 HOURS A DAY SEVEN DAYS A WEEK. IN 2022, THIS CARE INCLUDED OVER 250,000 HOME VISITS PROVIDED BY A DEDICATED AND WELL EDUCATED STAFF INCLUDING NURSES, PHYSICAL, OCCUPATIONAL AND SPEECH THERAPISTS, HOME HEALTH AIDES, SOCIAL WORKERS AND SPECIALTY CLINICIANS.",PARAMUS,NJ
1019,ATLANTICARE HEALTH SYSTEM INC,THE ORGANIZATION IS THE TAX-EXEMPT PARENT ENTITY OF ATLANTICARE HEALTH SYSTEM & AFFILIATES; A TAX-EXEMPT INTEGRATED HEALTHCARE DELIVERY SYSTEM WHICH INCLUDES ARMC.,EGG HARBOR TOWNSHIP,NJ
1020,CIS DEVELOPMENT FOUNDATION INC,See below,EAST BRUNSWICK,NJ
1021,BARNABAS HEALTH MEDICAL GROUP PC,"TO SUPPORT THE CHARITABLE PURPOSES, GOALS AND OBJECTIVES OF RWJ BARNABAS HEALTH, INC. AND ITS AFFILIATES; A TAX-EXEMPT INTEGRATED HEALTHCARE DELIVERY SYSTEM.",OCEANPORT,NJ
1022,GPU Companies Health Care Plan for Non-,TRUST TO FUND HEALTHCARE BENEFITS FOR RETIREES.,Boston,MA
1023,HACKENSACK MERIDIAN HEALTH MEDICAL GROUP- SPECIALTY CARE,"TO SERVE AS THE PHYSICIAN SERVICES COMPONENT OF A TAX-EXEMPT INTEGRATED HEALTHCARE DELIVERY NETWORK & TO THEREBY PROMOTE, SUPPORT & FURTHER THE CHARITABLE PURPOSES, PROGRAMS & SERVICES OF HMH HOSPITALS CORP.",EDISON,NJ
1024,VITAL STRATEGIES INC,WE ARE A GLOBAL PUBLIC HEALTH ORGANIZATION WORKING IN 70 COUNTRIES TO REDUCE DEATH AND DISEASE.,NEW YORK,NY
1025,ROBERT WOOD JOHNSON HEALTH NETWORK INC,PROVIDES CONTINUOUS BASIC AND ADVANCED LIFE SUPPORT EMERGENCY MEDICAL SERVICES THROUGHOUT NEW JERSEY.,OCEANPORT,NJ
1026,CAPITAL HEALTH-EAST TRENTON INC,TO PROVIDE HEALTH CARE AND HOSPITAL SERVICES,TRENTON,NJ
1027,LUCENT TECH INC POST RETIREMENT WELFARE,TO PROVIDE FUNDING FOR THE PAYMENT OF POST-RETIREMENT LIFE INSURANCE BENEFITS AND HEALTH BENEFITS TO ELIGIBLE RETIREES OF NOKIA OF AMERICA CORPORATION.,MURRAY HILL,NJ
1028,HACKENSACK MERIDIAN HEALTH INC,"THE ORGANIZATION IS COMMITTED TO PROVIDING THE FULL SPECTRUM OF LIFE-ENHANCING CARE AND SERVICES TO CREATE AND SUSTAIN HEALTHY, VIBRANT COMMUNITIES.",EDISON,NJ
1029,SPRINGPOINT SENIOR LIVING INC,TO INSPIRE OUR FAMILY WITH ENDLESS OPPORTUNITIES.,WALL,NJ
1030,VIRTUA HEALTH INC,"VIRTUA'S MISSION IS TO HELP THE COMMUNITY BE WELL, GET WELL AND STAY WELL.",MARLTON,NJ
1031,CAPITAL HEALTH SYSTEM INC,TO IMPROVE THE HEALTH AND WELL-BEING OF THE POPULATIONS WE SERVE IN URBAN AND SUBURBAN COMMUNITIES.,TRENTON,NJ
1032,ARCHWAY SCHOOL OF CHESTER INC,TO PROVIDE EDUCATIONAL SERVICES TO STUDENTS,CHESTER,PA
1033,UNITED STATES MARITIME ASSOCIATION LTD,TO PROTECT MEMBER INTERESTS IN LABOR RELATIONS ISSUES IN THE LONGSHORE INDUSTRY.,LYNDHURST,NJ
1034,VIRTUA WILLINGBORO HOSPITAL INC,"OUR MISSION IS TO HELP THE COMMUNITY TO BE WELL, GET WELL AND STAY WELL.",MARLTON,NJ
1035,CENTER FOR FAMILY SERVICES,"THE MISSION OF CENTER FOR FAMILY SERVICES IS TO SUPPORT AND EMPOWER INDIVIDUALS, FAMILIES, AND COMMUNITIES TO ACHIEVE A BETTER LIFE THROUGH VISION, HOPE, AND STRENGTH AND TO PROVIDE SHELTER, COUNSELING, ADVOCACY, AND EDUCATION.",CAMDEN,NJ
1036,ALLIES INC,TO FOSTER INDEPENDENCE FOR CHILDREN AND ADULTS WITH DIVERSE NEEDS.,HAMILTON,NJ
1037,KARS 4 KIDS INC,"KARS 4 KIDS, INC. FUNDS EDUCATIONAL AND YOUTH PROGRAMS FOR JEWISH CHILDREN AND FAMILIES IN COMMUNITIES ACROSS THE UNITED STATES. OUR FULL SUITE OF PROGRAMS INCLUDES SCHOOL PLACEMENT AND TUITION ASSISTANCE, MENTORSHIP AND EXTRACURRICULAR PROGRAMS, FAMILY RETREATS AND SUMMER CAMPS. OUR WIDE ARRAY OF SERVICES IS DESIGNED TO IMPACT EVERY ASPECT OF A CHILD'S DEVELOPMENT FROM THE ACADEMIC TO THE SOCIAL AND CULTURAL. THIS HOLISTIC APPROACH INVOLVES SCHOOL, FAMILY AND COMMUNITY WORKING TOGETHER TO DEVELOP OUR YOUTH INTO PRODUCTIVE AND RESPONSIBLE ADULTS.",LAKEWOOD,NJ
1038,OORAH INC,SEE SCHEDULE O.,LAKEWOOD,NJ
1039,THE EPOCH TIMES ASSOCIATION INC,"THE EPOCH TIMES ASSOCIATION INC. (""CORPORATION"") IS ORGANIZED AND OPERATED EXCLUSIVELY FOR CHARITABLE AND EDUCATIONAL PURPOSES IN ACCORDANCE WITH SECTION 501(C)(3) OF THE INTERNAL REVENUE CODE.",NEW YORK,NY
1040,WAKE FOREST UNIVERSITY HEALTH SCIENCES,"TO IMPROVE HEALTH, ELEVATE HOPE AND ADVANCE HEALING FOR ALL.",WINSTONSALEM,NC
1041,CHARITY GLOBAL INC,TO BRING CLEAN AND SAFE WATER TO PEOPLE AROUND THE WORLD. SEE SCHEDULE O.,HAGERSTOWN,MD
1042,EASTERN ATLANTIC STATES CARPENTERS,THE PURPOSE OF THE PLAN IS TO PROVIDE HEALTH AND OTHER BENEFITS TO ELIGIBLE PARTICIPANTS.,PHILADELPHIA,PA
1043,OPERATING ENGINEERS LOCAL NO 825,TO PROVIDE WELFARE BENEFITS TO PLAN PARTICIPANTS.,SPRINGFIELD,NJ
1044,ALEXANDER DAWSON FOUNDATION,"THE FOUNDATION, A NEVADA CHARITABLE TRUST, WAS ORGANIZED AND IS OPERATED EXCLUSIVELY FOR CHARITABLE AND EDUCATIONAL PURPOSES, ITS MISSION IS TO ESTABLISH, OPERATE AND MAINTAIN AN EDUCATIONAL ORGANIZATION THAT PROVIDES STUDENTS WITH THE HIGHEST QUALITY OF ACADEMIC INSTRUCTION.",LAS VEGAS,NV
1045,UNITED FOOD & COMMERCIAL WORKERS UNION,"TO PROVIDE HOSPITAL, MAJOR MEDICAL, DENTAL, PRESCRIPTION DRUG, VISION, LIFE INSURANCE AND OTHER MEDICAL BENEFITS TO ELIGIBLE PARTICIPANTS AND THEIR DEPENDENTS.",CLIFTON,NJ
1046,Massachusetts Mutual Employee Health Benefit Trust,"The Employee Health Trust was established to hold health plan assets. The health plan provides medical, dental, and vision benefits to eligible employees and eligible retirees of MassMutual Life Insurance Company and related members of its controlled group that have adopted the plan.",Springfield,MA
1047,IBEW LOCAL 102 WELFARE FUND,WELFARE FUND - HEALTH/MEDICAL BENEFITS,PARSIPPANY,NJ
1048,ADAMS ELECTRIC COOPERATIVE INC,ADAMS ELECTRIC COOPERATIVE PROVIDES SAFE AND EFFECTIVE DISTRIBUTION OF ELECTRICITY TO OUR MEMBERS,GETTYSBURG,PA
1049,CHAMBERSBURG HOSPITAL,THE CHAMBERSBURG HOSPITAL IS A REGIONAL NONPROFIT HEALTH CARE ORGANIZATION COMMITTED TO THE IMPROVEMENT OF THE HEALTH AND WELL-BEING OF THE PEOPLE IN SOUTHCENTRAL PENNSYLVANIA.,YORK,PA
1050,CHESTER COUNTY HOSPITAL,"DEDICATED, COMMUNITY-BASED HOSPITAL MAINTAINING HIGH QUALITY STANDARDS IN PATIENT CARE.",WEST CHESTER,PA
1051,JEFFERSON HEALTH - NORTHEAST,THE MISSION OF JEFFERSON HEALTH - NORTHEAST IS TO IMPROVE LIVES.,PHILADELPHIA,PA
